product_id,product_code,product_name,issuer,risk_level,product_type,currency,investment_period,min_investment,start_date,end_date,product_category,income_type,nav_date,initial_nav,accumulated_nav,current_nav
1000047715,Z7001425000718,阳光金增利乐享日开4号（180天最低持有）,光大理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,1,2025/05/22,2099/12/31,03,03,,,,
1000041727,Z7001625000278,招银理财招睿和鼎美元封闭176号固收类理财计划,招银理财有限责任公司,一级(低),固定收益类,美元(USD),6-12个月(含),1,2025/05/21,2025/11/18,01,03,,,,
1000042962,Z7001625000331,招银理财招睿安泰定开11号固定收益类理财计划,招银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/20,2099/12/31,03,03,,,,
1000046490,Z7001625000398,招银理财招睿增鑫180天持有期6号增强型固收类理财计划,招银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,0.01,2025/05/22,2055/05/22,03,03,,,,
1000046658,Z7001625000402,招银理财招睿和鼎美元封闭120号固收类理财计划,招银理财有限责任公司,一级(低),固定收益类,美元(USD),6-12个月(含),1,2025/05/21,2025/11/18,01,03,,,,
1000047263,Z7001625000421,招银理财招睿安裕定开43号固定收益类理财计划,招银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),1-3年(含),1,2025/05/23,2099/12/31,03,03,,,,
1000050802,Z7001625000496,招银理财招睿金鼎90天持有期1号固定收益类理财计划,招银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),每日,0.01,2025/05/21,2055/05/21,03,03,,,,
1000050874,Z7001625000499,招银理财招睿增利精选定开3号固定收益类理财计划,招银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/20,2099/12/31,03,03,,,,
1000050914,Z7001625000502,招银理财招睿增利精选定开（ESG科技款）1号固定收益类理财计划,招银理财有限责任公司,二级(中低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/27,2099/12/31,03,03,,,,
1000035462,Z7001925000135,中邮理财恒利·鸿运封闭式2025年第60期人民币理财产品,中邮理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/21,2025/08/27,01,03,,,,
1000035594,Z7001925000157,中邮理财恒利·鸿运封闭式2025年第79期人民币理财产品,中邮理财有限责任公司,一级(低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/20,2026/04/14,01,03,,,,
1000042740,Z7001925000356,中邮理财恒利·鸿运封闭式2025年第120期人民币理财产品,中邮理财有限责任公司,一级(低),固定收益类,人民币(CNY),1-3年(含),1,2025/05/20,2026/05/27,01,03,,,,
1000047976,Z7001925000521,中邮理财全球汇利QDII·鸿运最短持有30天2号美元理财产品,中邮理财有限责任公司,一级(低),固定收益类,美元(USD),每日,1,2025/05/22,2099/12/31,03,03,,,,
1000028813,Z7002024003180,兴银理财稳利安盈封闭式2025年25期固收类理财产品,兴银理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/27,2025/09/25,01,03,,,,
1000040963,Z7002025000400,兴银理财稳利安盈封闭式2025年460期固收类理财产品,兴银理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/27,2025/09/28,01,03,,,,
1000044430,Z7002025000512,兴银理财稳利安盈封闭式2025年412期固收类理财产品,兴银理财有限责任公司,一级(低),固定收益类,人民币(CNY),1-3年(含),1,2025/05/21,2026/07/28,01,03,,,,
1000044433,Z7002025000515,兴银理财稳利安盈封闭式2025年463期固收类理财产品,兴银理财有限责任公司,一级(低),固定收益类,人民币(CNY),3-6个月(含),1,2025/05/20,2025/08/27,01,03,,,,
1000048501,Z7002025000717,兴银理财稳利安心盈封闭式2025年224期固收类理财产品,兴银理财有限责任公司,一级(低),固定收益类,人民币(CNY),6-12个月(含),1,2025/05/27,2026/01/06,01,03,,,,
1000048796,Z7002025000733,兴银理财汇利稳健一年封闭式167期固收类理财产品,兴银理财有限责任公司,一级(低),固定收益类,美元(USD),1-3年(含),1,2025/05/22,2026/05/21,01,03,,,,
