id,product_id,product_code,product_name,nav_date,initial_nav,accumulated_nav,current_nav,is_updated,last_update_date,crawl_time,created_at,updated_at
7,1337256,C3042717000006,厦门农商银行-丰沃2号债券投资理财计划,2025-05-16,100.0,1.0378,1.0378,1,2025-05-16,,2025-05-16 15:56:39.137757,2025-05-16 18:10:05.632011
21,1000047971,Z7000825000664,工银理财·稳益最短持有7天固定收益类开放式理财产品1号,2025-05-16,1.0,1.0003,1.0003,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.643483,2025-05-16 18:10:05.643486
101,1000042133,Z7000925000416,交银理财稳享现金添利（惠享版）58号理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.706773,2025-05-16 18:10:05.706775
26,1000048888,Z7000925000569,交银理财稳享现金添利（惠享版）69号理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.647336,2025-05-16 18:10:05.647340
25,1000048889,Z7000925000570,交银理财稳享现金添利（惠享版）68号理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.646427,2025-05-16 18:10:05.646430
24,1000048890,Z7000925000571,交银理财稳享现金添利（惠享版）70号理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.645705,2025-05-16 18:10:05.645707
23,1000048892,Z7000925000573,交银理财稳享现金添利（惠享版）71号理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.644987,2025-05-16 18:10:05.644990
124,1000022917,Z7001024000964,（机构专属）中银理财-乐享天天11号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.724184,2025-05-16 18:10:05.724187
33,1000022918,Z7001024000965,（机构专属）中银理财-乐享天天12号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.653546,2025-05-16 18:10:05.653548
89,1000028611,Z7001024001038,中银理财-惠享天天21号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.696625,2025-05-16 18:10:05.696627
130,1000038317,Z7001025000242,中银理财-怡享天天56号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.728355,2025-05-16 18:10:05.728357
82,1000042206,Z7001025000336,中银理财-怡享天天60号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.691335,2025-05-16 18:10:05.691337
58,1000045932,Z7001025000454,中银理财-怡享天天62号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.673055,2025-05-16 18:10:05.673058
39,1000045934,Z7001025000456,中银理财-怡享天天70号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.658616,2025-05-16 18:10:05.658619
46,1000045937,Z7001025000459,中银理财-怡享天天68号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.664400,2025-05-16 18:10:05.664404
16,1000046629,Z7001025000511,中银理财-惠享天天25号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.639477,2025-05-16 18:10:05.639480
37,1000046631,Z7001025000513,中银理财-惠享天天33号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.657020,2025-05-16 18:10:05.657023
