id,product_id,product_code,product_name,issuer,issuer_code,risk_level,risk_level_code,product_type,product_type_code,currency,investment_period,min_investment,sale_status,sale_regions,start_date,end_date,product_category,income_type,sale_method,crawl_time,created_at,updated_at
178,1000029738,C1082724000103,广州银行红棉添盈均衡理财产品（封闭式）,广州银行股份有限公司,C10827,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,大连市,吉林省,黑龙江省,上海市,江苏省,浙江省,宁波市,安徽省,福建省,厦门市,江西省,山东省,青岛市,河南省,湖北省,湖南省,广东省,深圳市,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区",2025/05/20,2026/06/25,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.320951,2025-05-16 18:43:20.288777
407,1000030571,C1082924000262,润悦1号第700期,珠海华润银行股份有限公司,C10829,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),50000,05,"广东省,深圳市",2025/05/21,2025/12/03,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.482471,2025-05-16 18:43:20.451577
402,1000038128,C1082925000021,润悦1号第732期,珠海华润银行股份有限公司,C10829,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),50000,05,"广东省,深圳市",2025/05/21,2025/08/27,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.478514,2025-05-16 18:43:20.447713
296,1000038143,C1082925000036,润悦1号第733期,珠海华润银行股份有限公司,C10829,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),50000,05,"广东省,深圳市",2025/05/21,2025/09/24,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.404539,2025-05-16 18:43:20.371821
173,1000038148,C1082925000041,润悦1号第753期,珠海华润银行股份有限公司,C10829,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),50000,05,"广东省,深圳市",2025/05/21,2027/05/26,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.317486,2025-05-16 18:43:20.285299
181,1000049209,C1086225000046,长沙银行金芙蓉2025年长吉15期封闭式净值型理财产品,长沙银行股份有限公司,C10862,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"湖南省,广东省",2025/05/20,2026/08/13,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.323027,2025-05-16 18:43:20.290777
428,1000042802,C1087525000010,蒙银财鑫系列25013期,内蒙古银行股份有限公司,C10875,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"内蒙古自治区,黑龙江省",2025/05/22,2025/11/18,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.496927,2025-05-16 18:43:20.466533
153,1000050505,C1087725000054,乌银利鑫系列2025年第59期,乌海银行股份有限公司,C10877,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,内蒙古自治区,2025/05/21,2025/11/26,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.303530,2025-05-16 18:43:20.271644
271,1000050507,C1087725000056,乌银利鑫系列2025年第58期,乌海银行股份有限公司,C10877,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,内蒙古自治区,2025/05/21,2025/09/03,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.386883,2025-05-16 18:43:20.354061
272,1000050415,C1088025000032,麒麟赢佳-祥瑞舒心第510期,石嘴山银行股份有限公司,C10880,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,宁夏回族自治区,2025/05/22,2025/08/28,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.387547,2025-05-16 18:43:20.354890
